# Note: hypothetical backtest results do not guarantee future performance; this validates directional signal accuracy only, not simulated P&L.
date,sma5,sma20,signal,price_5d_later,actual_direction,correct
2026-05-21,739.06,729.95,BULLISH,756.34,UP,True
2026-05-22,740.38,731.54,BULLISH,758.44,UP,True
2026-05-26,742.79,733.3,BULLISH,759.47,UP,True
2026-05-27,746.15,735.25,BULLISH,754.18,UP,True
2026-05-28,748.82,737.4,BULLISH,756.97,UP,True
2026-05-29,751.55,739.3,BULLISH,737.45,DOWN,False
2026-06-01,754.1,741.2,BULLISH,739.235,DOWN,False
2026-06-02,755.9,743.27,BULLISH,737.07,DOWN,False
2026-06-03,756.62,744.79,BULLISH,725.58,DOWN,False
2026-06-04,757.08,745.95,BULLISH,737.67,DOWN,False
2026-06-05,753.3,746.25,BULLISH,741.67,UP,True
2026-06-08,749.46,746.33,BULLISH,754.75,UP,True
2026-06-09,744.98,746.22,BEARISH,750.58,UP,False
2026-06-10,739.26,745.59,BEARISH,741.02,UP,False
2026-06-11,735.4,745.36,BEARISH,746.75,UP,False
2026-06-12,736.25,745.04,BEARISH,744.27,UP,False
2026-06-15,739.35,745.82,BEARISH,733.62,DOWN,True
2026-06-16,742.05,746.43,BEARISH,733.32,DOWN,True
2026-06-17,745.14,746.79,BEARISH,733.33,DOWN,True
2026-06-18,746.95,747.06,BEARISH,729.35,DOWN,True
2026-06-22,747.47,747.14,BULLISH,740.86,DOWN,False
2026-06-23,743.25,746.54,BEARISH,746.65,UP,False
2026-06-24,739.8,745.68,BEARISH,745.665,UP,False
2026-06-25,738.26,744.82,BEARISH,744.86,UP,False
2026-06-26,734.78,743.55,BEARISH,751.27,UP,False
2026-06-29,734.1,742.78,BEARISH,747.77,UP,False
2026-06-30,736.7,742.19,BEARISH,745.28,DOWN,True
2026-07-01,739.17,741.5,BEARISH,751.55,UP,False
2026-07-02,741.48,741.03,BULLISH,754.94,UP,True
2026-07-06,745.86,740.75,BULLISH,749.13,DOWN,False
2026-07-07,747.24,741.26,BULLISH,751.94,UP,True
2026-07-08,746.97,741.57,BULLISH,754.77,UP,True
2026-07-09,748.15,742.29,BULLISH,750.87,DOWN,False
2026-07-10,750.16,743.76,BULLISH,743.28,DOWN,False
2026-07-13,749.73,744.33,BULLISH,742.15,DOWN,False
2026-07-14,750.57,744.85,BULLISH,748.155,DOWN,False
2026-07-15,752.47,744.85,BULLISH,747.49,DOWN,False
2026-07-16,752.33,744.86,BULLISH,738.06,DOWN,False
2026-07-17,750.0,744.97,BULLISH,738.9,DOWN,False
2026-07-20,748.6,744.74,BULLISH,738.85,DOWN,False
2026-07-21,747.85,744.94,BULLISH,740.795,DOWN,False
2026-07-22,746.39,745.63,BULLISH,729.57,DOWN,False
2026-07-23,743.83,745.87,BEARISH,741.63,UP,False
2026-07-24,742.95,746.15,BEARISH,746.79,UP,False
2026-07-27,742.29,746.62,BEARISH,757.72,UP,False
2026-07-28,740.82,746.62,BEARISH,771.11,UP,False
2026-07-29,737.24,745.76,BEARISH,769.79,UP,False
2026-07-30,737.95,745.56,BEARISH,768.64,UP,False
2026-07-31,739.53,745.66,BEARISH,773.16,UP,False
2026-08-03,743.3,745.98,BEARISH,773.02,UP,False
2026-08-04,749.36,747.15,BULLISH,770.52,DOWN,False
2026-08-05,757.41,748.37,BULLISH,772.54,UP,True
2026-08-06,762.81,749.23,BULLISH,777.84,UP,True
2026-08-07,768.08,750.14,BULLISH,776.3,UP,True
2026-08-10,771.14,751.33,BULLISH,772.62,DOWN,False
2026-08-11,771.03,752.26,BULLISH,767.365,DOWN,False
2026-08-12,771.58,753.15,BULLISH,769.09,DOWN,False
2026-08-13,773.42,754.5,BULLISH,762.62,DOWN,False
2026-08-14,774.04,756.15,BULLISH,765.64,DOWN,False
2026-08-17,773.96,757.67,BULLISH,763.46,DOWN,False
2026-08-18,773.33,758.64,BULLISH,765.79,DOWN,False
2026-08-19,772.64,759.72,BULLISH,765.94,DOWN,False
2026-08-20,769.6,760.94,BULLISH,771.18,UP,True
2026-08-21,767.47,762.28,BULLISH,769.28,UP,True
2026-08-24,765.63,763.51,BULLISH,766.87,UP,True
